contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,@fallback,14,23,25,13,72,19,26,14,3,64,14,16,100,31,24,3,19,28,25,26,21,24,18,9,14,3,59,3,19,20,17,20,24,24,28,33,10,24,39,20
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,finalizeIco,14,23,25,13,72,19,26,14,3,64,14,16,100,31,24,3,19,28,25,26,21,24,18,9,14,3,59,3,19,20,17,20,24,24,28,33,10,24,39,20
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,winnerReward,23,21,8,9,24,9,10,32,18,10,10,10,24,10,15,10,10,14,10,10,26,22,10,8,10,10,31,28,26,14,7,10,7,27,11,10,14,28,10,29
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,loser,23,21,8,9,24,9,10,32,18,10,10,10,24,10,15,10,10,14,10,10,26,22,10,8,10,10,31,28,26,14,7,10,7,27,11,10,14,28,10,29
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,draw,23,21,8,9,24,9,10,32,18,10,10,10,24,10,15,10,10,14,10,10,26,22,10,8,10,10,31,28,26,14,7,10,7,27,11,10,14,28,10,29
0xead71f4d060ddc7656c959b482fbdfaca95c5d9d,SuicidalContract,selfdestructs,1,1,1,1,3,1,1,1,1,3,4,1,3,1,1,1,3,1,1,3,3,1,4,3,1,1,3,1,3,1,3,3,3,1,1,1,1,4,1,1
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_1,EtherLeak,manualWithdrawEther,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_3,EtherLeak,manualWithdrawEther,N/A,N/A,243,N/A,N/A,N/A,2279,2931,1542,56,N/A,N/A,7012,5587,N/A,3644,3429,423,N/A,86,N/A,3728,N/A,N/A,N/A,1742,6748,N/A,3627,N/A,N/A,N/A,530,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,kill,18,37,27,14,28,15,22,26,39,19,17,20,14,21,24,47,29,6,21,13,21,14,16,25,20,29,7,18,25,21,27,14,58,17,15,23,19,35,14,20
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,withdrawFunds,18,37,27,14,28,15,22,26,39,19,17,20,14,21,24,47,29,6,21,13,21,14,16,25,20,29,7,18,25,21,27,14,58,17,15,23,19,35,14,20
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,EtherLeak,kill,16,13,11,20,7,6,24,17,30,17,14,14,5,19,18,15,20,7,6,34,17,10,19,17,8,21,22,9,20,17,8,9,14,17,13,19,8,24,17,13
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,EtherLeak,withdrawFunds,16,13,11,20,7,6,24,17,30,17,14,14,5,19,18,15,20,7,6,34,17,10,19,17,8,21,22,9,20,17,8,9,14,17,13,19,8,24,17,13
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,SuicidalContract,kill,33,33,40,34,33,56,82,47,72,40,37,125,60,50,33,43,87,42,35,45,57,29,43,45,35,46,58,63,29,15,42,61,76,60,80,29,51,36,38,39
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,EtherLeak,kill,33,33,40,34,33,56,82,42,72,40,37,125,60,50,33,43,87,42,35,41,57,29,43,45,35,46,58,63,29,15,42,61,76,60,80,29,51,36,38,39
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,EtherLeak,withdrawFunds,33,33,40,34,33,56,82,42,72,40,37,125,60,50,33,43,87,42,35,41,57,29,43,45,35,46,58,63,29,15,42,61,76,60,80,29,51,36,38,39
0xfc1078a7bb4521881663df4148434acd991af14c_3,SuicidalContract,destroy,39,12,50,71,70,113,31,37,36,54,30,89,71,22,40,42,37,53,33,27,41,48,73,39,35,78,169,74,51,128,38,28,62,75,76,52,73,47,113,43
0xfc1078a7bb4521881663df4148434acd991af14c_3,EtherLeak,destroy,300,639,295,332,238,556,31,397,606,82,207,429,183,344,309,154,113,1110,91,590,110,1161,353,1077,207,79,1616,2093,477,3067,1983,612,62,209,1057,434,182,160,779,777
parity_wallet_bug_2,SuicidalContract,kill,14,18,3,18,3,3,3,19,15,14,3,3,3,3,3,3,3,3,21,18,3,3,3,3,3,15,3,3,4,3,3,17,3,3,3,14,3,2,23,21
parity_wallet_bug_2,EtherLeak,kill,230,29,20,38,23,67,38,24,50,70,16,48,24,43,17,18,35,37,54,62,15,22,47,15,29,51,41,39,21,29,24,54,23,17,19,64,24,13,64,118
parity_wallet_bug_2,EtherLeak,execute,230,29,20,38,23,67,38,24,50,70,16,48,24,43,17,18,35,37,54,62,15,22,47,15,29,51,41,39,21,29,24,54,23,17,19,64,24,13,64,118
wallet_02_refund_nosub,EtherLeak,withdraw,8,2,1,5,4,14,9,4,16,10,5,11,15,13,4,14,17,4,12,3,2,6,4,8,2,1,2,14,8,1,7,9,5,1,5,4,5,11,4,7
wallet_02_refund_nosub,EtherLeak,refund,8,2,1,5,4,14,9,4,16,10,5,11,15,13,4,14,17,4,12,3,2,6,4,8,2,1,2,14,8,1,7,9,5,1,5,4,5,11,4,7
